,metric,sample,value,cell_type_level,cell_type,hierarchy
0,precision,NL01,0.9441624365482234,cell_type_level_1,B cell,final_gate_1
1,precision,NL03,0.9726651480637813,cell_type_level_1,B cell,final_gate_1
2,precision,NL05,0.9835820895522388,cell_type_level_1,B cell,final_gate_1
3,precision,NL07,0.9622641509433962,cell_type_level_1,B cell,final_gate_1
4,precision,NL09,0.9722222222222222,cell_type_level_1,B cell,final_gate_1
5,recall,NL01,0.8378378378378378,cell_type_level_1,B cell,final_gate_1
6,recall,NL03,0.8422090729783037,cell_type_level_1,B cell,final_gate_1
7,recall,NL05,0.7930204572803851,cell_type_level_1,B cell,final_gate_1
8,recall,NL07,0.8360655737704918,cell_type_level_1,B cell,final_gate_1
9,recall,NL09,0.6862745098039216,cell_type_level_1,B cell,final_gate_1
10,f1score,NL01,0.8878281622911695,cell_type_level_1,B cell,final_gate_1
11,f1score,NL03,0.9027484143763213,cell_type_level_1,B cell,final_gate_1
12,f1score,NL05,0.8780812791472351,cell_type_level_1,B cell,final_gate_1
13,f1score,NL07,0.8947368421052632,cell_type_level_1,B cell,final_gate_1
14,f1score,NL09,0.8045977011494253,cell_type_level_1,B cell,final_gate_1
0,precision,NL01,0.9629629629629629,cell_type_level_1,B cell,final_gate_2
1,precision,NL03,0.9815668202764977,cell_type_level_1,B cell,final_gate_2
2,precision,NL05,0.9909365558912386,cell_type_level_1,B cell,final_gate_2
3,precision,NL07,0.9622641509433962,cell_type_level_1,B cell,final_gate_2
4,precision,NL09,0.9722222222222222,cell_type_level_1,B cell,final_gate_2
5,recall,NL01,0.8198198198198198,cell_type_level_1,B cell,final_gate_2
6,recall,NL03,0.8402366863905325,cell_type_level_1,B cell,final_gate_2
7,recall,NL05,0.789410348977136,cell_type_level_1,B cell,final_gate_2
8,recall,NL07,0.8360655737704918,cell_type_level_1,B cell,final_gate_2
9,recall,NL09,0.6862745098039216,cell_type_level_1,B cell,final_gate_2
10,f1score,NL01,0.8856447688564476,cell_type_level_1,B cell,final_gate_2
11,f1score,NL03,0.9054197662061636,cell_type_level_1,B cell,final_gate_2
12,f1score,NL05,0.8787675820495646,cell_type_level_1,B cell,final_gate_2
13,f1score,NL07,0.8947368421052632,cell_type_level_1,B cell,final_gate_2
14,f1score,NL09,0.8045977011494253,cell_type_level_1,B cell,final_gate_2
0,precision,NL01,0.978494623655914,cell_type_level_1,B cell,final_gate_3
1,precision,NL03,0.9883449883449883,cell_type_level_1,B cell,final_gate_3
2,precision,NL05,0.9924357034795764,cell_type_level_1,B cell,final_gate_3
3,precision,NL07,1.0,cell_type_level_1,B cell,final_gate_3
4,precision,NL09,0.9722222222222222,cell_type_level_1,B cell,final_gate_3
5,recall,NL01,0.8198198198198198,cell_type_level_1,B cell,final_gate_3
6,recall,NL03,0.8362919132149902,cell_type_level_1,B cell,final_gate_3
7,recall,NL05,0.789410348977136,cell_type_level_1,B cell,final_gate_3
8,recall,NL07,0.8360655737704918,cell_type_level_1,B cell,final_gate_3
9,recall,NL09,0.6862745098039216,cell_type_level_1,B cell,final_gate_3
10,f1score,NL01,0.892156862745098,cell_type_level_1,B cell,final_gate_3
11,f1score,NL03,0.9059829059829059,cell_type_level_1,B cell,final_gate_3
12,f1score,NL05,0.8793565683646113,cell_type_level_1,B cell,final_gate_3
13,f1score,NL07,0.9107142857142857,cell_type_level_1,B cell,final_gate_3
14,f1score,NL09,0.8045977011494253,cell_type_level_1,B cell,final_gate_3
0,precision,NL01,0.9945054945054945,cell_type_level_1,B cell,final_gate_4
1,precision,NL03,0.9953051643192489,cell_type_level_1,B cell,final_gate_4
2,precision,NL05,0.993920972644377,cell_type_level_1,B cell,final_gate_4
3,precision,NL07,1.0,cell_type_level_1,B cell,final_gate_4
4,precision,NL09,1.0,cell_type_level_1,B cell,final_gate_4
5,recall,NL01,0.8153153153153153,cell_type_level_1,B cell,final_gate_4
6,recall,NL03,0.8362919132149902,cell_type_level_1,B cell,final_gate_4
7,recall,NL05,0.7870036101083032,cell_type_level_1,B cell,final_gate_4
