,hierarchy_1,hierarchy_2,hierarchy_3,score,cell_type,hierarchy_4,hierarchy_5
0,0.930495,0.930643,0.927261,f1,B cell,0.927261,0.927261
1,0.876179,0.870283,0.864387,recall,B cell,0.864387,0.864387
2,0.991989,1.0,1.0,precision,B cell,1.0,1.0
3,0.945482,0.948267,0.94774,f1,B cell,0.946411,0.946411
4,0.911228,0.90595,0.900672,recall,B cell,0.898273,0.898273
5,0.982411,0.994731,1.0,precision,B cell,1.0,1.0
6,0.890543,0.886593,0.886593,f1,B cell,0.886593,0.886593
7,0.803,0.796289,0.796289,recall,B cell,0.796289,0.796289
8,0.999509,1.0,1.0,precision,B cell,1.0,1.0
9,0.924478,0.921505,0.917253,f1,B cell,0.91608,0.91608
10,0.862138,0.856144,0.847153,recall,B cell,0.845155,0.845155
11,0.996536,0.997672,1.0,precision,B cell,1.0,1.0
12,0.807418,0.804006,0.804006,f1,B cell,0.804006,0.804006
13,0.677033,0.672249,0.672249,recall,B cell,0.672249,0.672249
14,1.0,1.0,1.0,precision,B cell,1.0,1.0
15,0.330958,0.523901,0.633208,f1,T cell,0.632658,0.625616
16,0.511506,0.491782,0.470743,recall,T cell,0.466798,0.459237
17,0.244616,0.56051,0.966914,precision,T cell,0.981341,0.981039
18,0.076386,0.091219,0.22007,f1,T cell,0.337124,0.484274
19,0.918322,0.915011,0.626932,recall,T cell,0.556291,0.53532
20,0.039851,0.048002,0.133459,precision,T cell,0.241843,0.442115
21,0.330138,0.44393,0.562455,f1,T cell,0.561393,0.544926
22,0.569104,0.552078,0.48648,recall,T cell,0.468202,0.445669
23,0.232508,0.371212,0.666552,precision,T cell,0.7009,0.701063
24,0.128514,0.212014,0.203774,f1,T cell,0.175299,0.176
25,0.140351,0.131579,0.118421,recall,T cell,0.096491,0.096491
26,0.118519,0.545455,0.72973,precision,T cell,0.956522,1.0
27,0.27456,0.452872,0.578715,f1,T cell,0.578156,0.565942
28,0.461484,0.438659,0.420827,recall,T cell,0.411555,0.399429
29,0.195409,0.468037,0.926217,precision,T cell,0.97138,0.970537
30,0.691219,0.873626,0.873626,f1,NK cell,0.873626,0.873626
31,0.78349,0.77561,0.77561,recall,NK cell,0.77561,0.77561
32,0.618392,1.0,1.0,precision,NK cell,1.0,1.0
33,0.697847,0.721281,0.726165,f1,NK cell,0.705982,0.705926
34,0.573043,0.571014,0.570145,recall,NK cell,0.545652,0.545507
35,0.892148,0.978882,0.999746,precision,NK cell,0.999734,1.0
36,0.782018,0.88347,0.887819,f1,NK cell,0.888097,0.887981
37,0.8172,0.806403,0.803561,recall,NK cell,0.802804,0.802614
38,0.749739,0.976824,0.991817,precision,NK cell,0.993669,0.993668
39,0.85774,0.926237,0.929268,f1,NK cell,0.924782,0.92443
40,0.874021,0.869363,0.86857,recall,NK cell,0.860343,0.859649
41,0.842055,0.991073,0.999088,precision,NK cell,0.999654,0.999769
42,0.877778,0.935637,0.935323,f1,NK cell,0.935486,0.935486
43,0.884328,0.880116,0.879032,recall,NK cell,0.878792,0.878792
44,0.871324,0.998634,0.999316,precision,NK cell,1.0,1.0
45,0.997572,0.997997,0.994697,f1,CD4+ T cell,0.994003,0.988588
46,0.99787,0.997785,0.990883,recall,CD4+ T cell,0.988667,0.978016
47,0.997275,0.99821,0.99854,precision,CD4+ T cell,0.999397,0.999391
48,0.990051,0.993024,0.993075,f1,CD4+ T cell,0.979872,0.978618
49,0.995914,0.990328,0.990224,recall,CD4+ T cell,0.964363,0.959915
50,0.984256,0.995736,0.995942,precision,CD4+ T cell,0.995887,0.998064
51,0.992197,0.993436,0.989172,f1,CD4+ T cell,0.979953,0.979043
52,0.993901,0.990407,0.98188,recall,CD4+ T cell,0.963937,0.961331
53,0.990499,0.996485,0.996574,precision,CD4+ T cell,0.996511,0.99742
54,0.996914,0.99696,0.985803,f1,CD4+ T cell,0.983602,0.971665
55,0.99791,0.997863,0.974035,recall,CD4+ T cell,0.968182,0.94533
56,0.995921,0.996059,0.997859,precision,CD4+ T cell,0.99952,0.999509
57,0.996386,0.992247,0.988112,f1,CD4+ T cell,0.988111,0.985088
58,0.996942,0.985771,0.977421,recall,CD4+ T cell,0.977362,0.971071
59,0.99583,0.998808,0.999038,precision,CD4+ T cell,0.999098,0.999516
60,0.955639,0.963549,0.965344,f1,CD8+ T cell,0.964856,0.964208
61,0.948669,0.936553,0.935836,recall,CD8+ T cell,0.934401,0.932967
62,0.962711,0.992147,0.996774,precision,CD8+ T cell,0.997363,0.997614
63,0.844978,0.923233,0.894975,f1,CD8+ T cell,0.881062,0.881986
64,0.898131,0.891658,0.822279,recall,CD8+ T cell,0.79443,0.794186
65,0.797765,0.957126,0.98177,precision,CD8+ T cell,0.988901,0.991612
66,0.91303,0.916735,0.91374,f1,CD8+ T cell,0.910606,0.881054
67,0.878511,0.863544,0.85606,recall,CD8+ T cell,0.849937,0.799106
68,0.950373,0.97691,0.979755,precision,CD8+ T cell,0.980601,0.981731
69,0.939293,0.914849,0.876017,f1,CD8+ T cell,0.876017,0.876017
70,0.908181,0.843322,0.779387,recall,CD8+ T cell,0.779387,0.779387
71,0.972612,0.999635,1.0,precision,CD8+ T cell,1.0,1.0
72,0.907681,0.892308,0.885479,f1,CD8+ T cell,0.89619,0.896667
73,0.883878,0.840408,0.82449,recall,CD8+ T cell,0.818367,0.818163
74,0.932802,0.951039,0.956213,precision,CD8+ T cell,0.990368,0.991836
75,0.004882,0.444444,0.32,f1,NK T cell,0.32,0.32
76,0.52381,0.285714,0.190476,recall,NK T cell,0.190476,0.190476
