,hierarchy_1,hierarchy_2,hierarchy_3,hierarchy_4,hierarchy_5,score,cell_type
0,0.977373,0.980745,0.976862,0.974261,0.973772,f1,B cell
1,0.963445,0.962515,0.954771,0.949814,0.948885,recall,B cell
2,0.991709,0.999678,1.0,1.0,1.0,precision,B cell
3,0.989224,0.974667,0.974667,0.974667,0.974667,f1,B cell
4,0.983727,0.950585,0.950585,0.950585,0.950585,recall,B cell
5,0.994782,1.0,1.0,1.0,1.0,precision,B cell
6,0.996767,0.997,0.993823,0.993345,0.991347,f1,B cell
7,0.994806,0.994019,0.987722,0.986778,0.982843,recall,B cell
8,0.998736,1.0,1.0,1.0,1.0,precision,B cell
9,0.978844,0.9863,0.986763,0.987623,0.986586,f1,classical monocyte
10,0.998392,0.984184,0.984184,0.983916,0.980834,recall,classical monocyte
11,0.960046,0.988424,0.989356,0.991357,0.992406,precision,classical monocyte
12,0.980577,0.990399,0.991273,0.990829,0.991448,f1,classical monocyte
13,0.991091,0.988501,0.988397,0.984875,0.984772,recall,classical monocyte
14,0.970284,0.992304,0.994165,0.996854,0.998215,precision,classical monocyte
15,0.982166,0.983253,0.983091,0.985145,0.985145,f1,classical monocyte
16,0.997335,0.980401,0.979931,0.977422,0.977422,recall,classical monocyte
17,0.967452,0.986122,0.986271,0.992991,0.992991,precision,classical monocyte
18,0.786106,0.788104,0.801572,0.803181,0.813906,f1,non-classical monocyte
19,0.770609,0.759857,0.731183,0.724014,0.713262,recall,non-classical monocyte
20,0.802239,0.818533,0.886957,0.901786,0.947619,precision,non-classical monocyte
21,0.901124,0.907029,0.925754,0.920746,0.916764,f1,non-classical monocyte
22,0.893096,0.890869,0.888641,0.879733,0.870824,recall,non-classical monocyte
23,0.909297,0.923788,0.966102,0.96577,0.967822,precision,non-classical monocyte
24,0.833165,0.860169,0.893333,0.892102,0.894091,f1,non-classical monocyte
25,0.858333,0.845833,0.8375,0.835417,0.835417,recall,non-classical monocyte
26,0.80943,0.875,0.957143,0.957041,0.961631,precision,non-classical monocyte
27,0.434043,0.566474,0.568915,0.568915,0.564706,f1,intermediate monocyte
28,0.455357,0.4375,0.433036,0.433036,0.428571,recall,intermediate monocyte
29,0.414634,0.803279,0.82906,0.82906,0.827586,precision,intermediate monocyte
30,0.472222,0.613065,0.612245,0.608247,0.601036,f1,intermediate monocyte
31,0.535433,0.480315,0.472441,0.464567,0.456693,recall,intermediate monocyte
32,0.42236,0.847222,0.869565,0.880597,0.878788,precision,intermediate monocyte
33,0.313725,0.41048,0.40708,0.40708,0.401786,f1,intermediate monocyte
34,0.268156,0.26257,0.256983,0.256983,0.251397,recall,intermediate monocyte
35,0.377953,0.94,0.978723,0.978723,1.0,precision,intermediate monocyte
36,0.345865,0.778761,0.756757,0.756757,0.745455,f1,dendritic cell Q1
37,0.666667,0.637681,0.608696,0.608696,0.594203,recall,dendritic cell Q1
38,0.233503,1.0,1.0,1.0,1.0,precision,dendritic cell Q1
39,0.100457,0.407407,0.377358,0.377358,0.377358,f1,dendritic cell Q1
40,0.255814,0.255814,0.232558,0.232558,0.232558,recall,dendritic cell Q1
41,0.0625,1.0,1.0,1.0,1.0,precision,dendritic cell Q1
42,0.074547,0.745763,0.738636,0.735632,0.728324,f1,dendritic cell Q1
43,0.636364,0.6,0.590909,0.581818,0.572727,recall,dendritic cell Q1
44,0.039593,0.985075,0.984848,1.0,1.0,precision,dendritic cell Q1
45,0.166551,0.766129,0.770492,0.773663,0.771784,f1,dendritic cell Q3
46,0.810811,0.641892,0.635135,0.635135,0.628378,recall,dendritic cell Q3
47,0.092807,0.95,0.979167,0.989474,1.0,precision,dendritic cell Q3
48,0.095718,0.363636,0.352941,0.344828,0.336634,f1,dendritic cell Q3
49,0.22619,0.22619,0.214286,0.208333,0.202381,recall,dendritic cell Q3
50,0.060703,0.926829,1.0,1.0,1.0,precision,dendritic cell Q3
51,0.222772,0.560261,0.581081,0.578231,0.578231,f1,dendritic cell Q3
52,0.434783,0.415459,0.415459,0.410628,0.410628,recall,dendritic cell Q3
53,0.14975,0.86,0.966292,0.977011,0.977011,precision,dendritic cell Q3
54,0.194444,0.507463,0.640777,0.640777,0.627451,f1,dendritic cell Q4
55,0.5,0.485714,0.471429,0.471429,0.457143,recall,dendritic cell Q4
56,0.12069,0.53125,1.0,1.0,1.0,precision,dendritic cell Q4
57,0.052288,0.533333,0.653061,0.625,0.625,f1,dendritic cell Q4
58,0.606061,0.606061,0.484848,0.454545,0.454545,recall,dendritic cell Q4
59,0.027322,0.47619,1.0,1.0,1.0,precision,dendritic cell Q4
60,0.086667,0.20339,0.196429,0.196429,0.196429,f1,dendritic cell Q4
61,0.128713,0.118812,0.108911,0.108911,0.108911,recall,dendritic cell Q4
62,0.065327,0.705882,1.0,1.0,1.0,precision,dendritic cell Q4
