,dataset,sample,celltype,subsample,f1,recall,precision
0,cytof_data_tmp,T,not annotated,50000,0.9950629929325002,0.9953688524590164,0.9947573213188614
1,cytof_data_tmp,T,CD4+ EM T cell,50000,0.7593935398813448,0.6889952153110048,0.8458149779735683
2,cytof_data_tmp,T,NK cell,50000,0.9802256460026689,0.9744331886155331,0.9860873810104955
3,cytof_data_tmp,T,CD8+ TRM T cell,50000,0.8922305764411027,0.8725490196078431,0.9128205128205128
4,cytof_data_tmp,T,CD4+ CM T cell,50000,0.8873907615480648,0.8873169107856191,0.8874646246046279
5,cytof_data_tmp,T,CD8+ EM T cell,50000,0.8888446215139443,0.8781735878764023,0.8997781810848962
6,cytof_data_tmp,T,Naive CD4+ T cell,50000,0.8526486236409901,0.8286870503597122,0.8780371605526441
7,cytof_data_tmp,T,CD8+ CM T cell,50000,0.6108695652173912,0.5146520146520146,0.7513368983957219
8,cytof_data_tmp,T,Naive CD8+ T cell,50000,0.9428823356520035,0.9331006399069226,0.9528712871287128
9,cytof_data_tmp,T,Double negative T cell,50000,0.8650137741046832,0.8328912466843501,0.8997134670487106
10,cytof_data_tmp,T,Double positive T cell,50000,0.7019607843137255,0.5868852459016394,0.8731707317073171
11,cytof_data_tmp,T,CD4+ TRM T cell,50000,0.7939698492462312,0.7523809523809524,0.8404255319148937
12,cytof_data_tmp,T,CD8+ TE T cell,50000,0.7591623036649215,0.6651376146788991,0.8841463414634146
13,cytof_data_tmp,T,CD4+ TEMRA,50000,0.45454545454545453,0.3125,0.8333333333333334
14,cytof_data_tmp,U,not annotated,50000,0.997340673695997,0.9975268315445637,0.9971545853157944
15,cytof_data_tmp,U,CD4+ EM T cell,50000,0.47804054054054057,0.36050955414012736,0.7092731829573935
16,cytof_data_tmp,U,NK cell,50000,0.9860365198711063,0.9823434991974318,0.9897574123989218
17,cytof_data_tmp,U,CD8+ TRM T cell,50000,0.9274193548387097,0.8914728682170543,0.9663865546218487
18,cytof_data_tmp,U,CD4+ CM T cell,50000,0.8924106076292109,0.896408287337013,0.8884484262269088
19,cytof_data_tmp,U,CD8+ EM T cell,50000,0.8719386801271266,0.854525467204104,0.8900763358778626
20,cytof_data_tmp,U,Naive CD4+ T cell,50000,0.8762370969458337,0.8791373051462738,0.8733559609673314
21,cytof_data_tmp,U,CD8+ CM T cell,50000,0.6467065868263473,0.5476673427991886,0.7894736842105263
22,cytof_data_tmp,U,Naive CD8+ T cell,50000,0.9608134920634921,0.956071076011846,0.9656031904287139
23,cytof_data_tmp,U,Double negative T cell,50000,0.8566610455311974,0.8246753246753247,0.8912280701754386
24,cytof_data_tmp,U,Double positive T cell,50000,0.6474820143884893,0.5487804878048781,0.7894736842105263
25,cytof_data_tmp,U,CD4+ TRM T cell,50000,0.6909090909090909,0.628099173553719,0.7676767676767676
26,cytof_data_tmp,U,CD8+ TE T cell,50000,0.8309572301425661,0.75,0.9315068493150684
27,cytof_data_tmp,U,CD4+ TEMRA,50000,0.6593406593406593,0.5172413793103449,0.9090909090909091
28,cytof_data_tmp,B,not annotated,50000,0.9938636153917135,0.9953791414444804,0.9923526972865896
29,cytof_data_tmp,B,CD4+ EM T cell,50000,0.2732447817836812,0.18274111675126903,0.5413533834586466
30,cytof_data_tmp,B,NK cell,50000,0.9879385964912281,0.9851301115241635,0.990763140532219
31,cytof_data_tmp,B,CD8+ TRM T cell,50000,0.9090909090909091,0.8333333333333334,1.0
32,cytof_data_tmp,B,CD4+ CM T cell,50000,0.8911155644622578,0.8879126730564431,0.8943416465540359
33,cytof_data_tmp,B,CD8+ EM T cell,50000,0.900454478815423,0.8940320232896652,0.9069698759598346
34,cytof_data_tmp,B,Naive CD4+ T cell,50000,0.8902785673678226,0.9046047202508665,0.8763991045730732
35,cytof_data_tmp,B,CD8+ CM T cell,50000,0.7302533532041728,0.660377358490566,0.8166666666666667
36,cytof_data_tmp,B,Naive CD8+ T cell,50000,0.9185119574844997,0.9001736111111112,0.9376130198915009
37,cytof_data_tmp,B,Double negative T cell,50000,0.7928994082840236,0.708994708994709,0.8993288590604027
38,cytof_data_tmp,B,Double positive T cell,50000,0.7174721189591079,0.6146496815286624,0.8616071428571429
39,cytof_data_tmp,B,CD4+ TRM T cell,50000,0.8392156862745097,0.8106060606060606,0.8699186991869918
40,cytof_data_tmp,B,CD8+ TE T cell,50000,0.9082568807339448,0.8962962962962963,0.9205409974640744
41,cytof_data_tmp,B,CD4+ TEMRA,50000,0.6896551724137931,0.5555555555555556,0.9090909090909091
42,cytof_data_tmp,A,not annotated,50000,0.9889684770453653,0.9915757575757576,0.9863748718876229
43,cytof_data_tmp,A,CD4+ EM T cell,50000,0.8416454313796868,0.8103750438135296,0.8754259750094661
44,cytof_data_tmp,A,NK cell,50000,0.9871443624868284,0.985275557425326,0.9890202702702703
45,cytof_data_tmp,A,CD8+ TRM T cell,50000,0.8977272727272727,0.8586956521739131,0.9404761904761905
46,cytof_data_tmp,A,CD4+ CM T cell,50000,0.82858687815429,0.7953287197231834,0.8647479307750188
47,cytof_data_tmp,A,CD8+ EM T cell,50000,0.8680795137177593,0.858768080611084,0.8775950838731108
48,cytof_data_tmp,A,Naive CD4+ T cell,50000,0.8871628004618453,0.89723991507431,0.8773095287523355
49,cytof_data_tmp,A,CD8+ CM T cell,50000,0.6385542168674698,0.5221674876847291,0.8217054263565892
50,cytof_data_tmp,A,Naive CD8+ T cell,50000,0.8461538461538461,0.8130726939523518,0.8820410868124586
51,cytof_data_tmp,A,Double negative T cell,50000,0.6947368421052632,0.5689655172413793,0.8918918918918919
52,cytof_data_tmp,A,Double positive T cell,50000,0.6462264150943396,0.5407894736842105,0.802734375
53,cytof_data_tmp,A,CD4+ TRM T cell,50000,0.836644591611479,0.7962184873949579,0.8813953488372093
54,cytof_data_tmp,A,CD8+ TE T cell,50000,0.8931594600777855,0.8876762164620282,0.8987108655616943
55,cytof_data_tmp,A,CD4+ TEMRA,50000,0.9736249171636846,0.9665789473684211,0.9807743658210948
56,cytof_data_tmp,H,not annotated,50000,0.9942644190176726,0.9945829450139795,0.9939460969788696
57,cytof_data_tmp,H,CD4+ EM T cell,50000,0.6061093247588424,0.50066401062417,0.7678207739307535
58,cytof_data_tmp,H,NK cell,50000,0.9930183849197113,0.9916337438996049,0.9944068981589373
59,cytof_data_tmp,H,CD8+ TRM T cell,50000,0.9694117647058824,0.9671361502347418,0.9716981132075472
60,cytof_data_tmp,H,CD4+ CM T cell,50000,0.8830764440292698,0.8749035940151164,0.8914034260568914
61,cytof_data_tmp,H,CD8+ EM T cell,50000,0.8248374957235717,0.8077051926298158,0.8427123383432367
62,cytof_data_tmp,H,Naive CD4+ T cell,50000,0.9269678886047172,0.9252588285349596,0.9286832740213523
63,cytof_data_tmp,H,CD8+ CM T cell,50000,0.7269709543568464,0.6908517350157729,0.7670753064798599
64,cytof_data_tmp,H,Naive CD8+ T cell,50000,0.9188906331763474,0.9086675291073739,0.9293463879333157
65,cytof_data_tmp,H,Double negative T cell,50000,0.8785942492012779,0.8540372670807453,0.9046052631578947
66,cytof_data_tmp,H,Double positive T cell,50000,0.737384140061792,0.6532846715328468,0.8463356973995272
67,cytof_data_tmp,H,CD4+ TRM T cell,50000,0.7363184079601991,0.6727272727272727,0.8131868131868132
68,cytof_data_tmp,H,CD8+ TE T cell,50000,0.8508398094760591,0.8326790971540726,0.8698103536647873
69,cytof_data_tmp,H,CD4+ TEMRA,50000,0.957983193277311,0.9443786982248521,0.9719853836784409
70,cytof_data_tmp,C,not annotated,50000,0.9974729498861048,0.9976504930404756,0.9972954699121027
71,cytof_data_tmp,C,CD4+ EM T cell,50000,0.46298227320125135,0.3474178403755869,0.69375
72,cytof_data_tmp,C,NK cell,50000,0.9832649194821597,0.9767879548306148,0.9898283534647171
73,cytof_data_tmp,C,CD8+ TRM T cell,50000,0.9465020576131686,0.92,0.9745762711864406
74,cytof_data_tmp,C,CD4+ CM T cell,50000,0.877115424466395,0.8780251694094869,0.8762075627932653
75,cytof_data_tmp,C,CD8+ EM T cell,50000,0.9042814289610035,0.8906795594950309,0.9183051786208807
76,cytof_data_tmp,C,Naive CD4+ T cell,50000,0.8943652222068393,0.8932522123893806,0.8954810091488772
77,cytof_data_tmp,C,CD8+ CM T cell,50000,0.759601706970128,0.6989528795811518,0.8317757009345794
78,cytof_data_tmp,C,Naive CD8+ T cell,50000,0.9175304191077062,0.8906386701662292,0.9460966542750929
79,cytof_data_tmp,C,Double negative T cell,50000,0.7757847533632287,0.6947791164658634,0.8781725888324873
80,cytof_data_tmp,C,Double positive T cell,50000,0.6917293233082707,0.5609756097560976,0.9019607843137255
81,cytof_data_tmp,C,CD4+ TRM T cell,50000,0.7396449704142012,0.6830601092896175,0.8064516129032258
82,cytof_data_tmp,C,CD8+ TE T cell,50000,0.8341708542713568,0.7883310719131614,0.885670731707317
83,cytof_data_tmp,C,CD4+ TEMRA,50000,0.9789448781641827,0.9745642958078191,0.9833650190114068
84,cytof_data_tmp,O,not annotated,50000,0.9956493948328832,0.9966974900924703,0.9946035015447992
85,cytof_data_tmp,O,CD4+ EM T cell,50000,0.7130017974835231,0.630965005302227,0.8195592286501377
86,cytof_data_tmp,O,NK cell,50000,0.9859034600598034,0.9815707400056706,0.9902745995423341
87,cytof_data_tmp,O,CD8+ TRM T cell,50000,0.9702970297029703,0.9545454545454546,0.9865771812080537
88,cytof_data_tmp,O,CD4+ CM T cell,50000,0.8770267808343961,0.8815235304889214,0.8725756751857894
89,cytof_data_tmp,O,CD8+ EM T cell,50000,0.892423706845764,0.883574428371442,0.9014520352297072
90,cytof_data_tmp,O,Naive CD4+ T cell,50000,0.8392122917117507,0.817798397300717,0.8617777777777778
91,cytof_data_tmp,O,CD8+ CM T cell,50000,0.5608247422680414,0.43729903536977494,0.7816091954022989
92,cytof_data_tmp,O,Naive CD8+ T cell,50000,0.9129478315524828,0.8900122549019608,0.9370967741935484
93,cytof_data_tmp,O,Double negative T cell,50000,0.9043387349712493,0.8790650406504065,0.9311087190527448
94,cytof_data_tmp,O,Double positive T cell,50000,0.6495176848874598,0.5233160621761658,0.8559322033898306
95,cytof_data_tmp,O,CD4+ TRM T cell,50000,0.6577777777777778,0.5648854961832062,0.7872340425531915
96,cytof_data_tmp,O,CD8+ TE T cell,50000,0.9506342132327734,0.942556084296397,0.9588520055325035
97,cytof_data_tmp,O,CD4+ TEMRA,50000,0.9644619940769991,0.9616141732283464,0.9673267326732673
98,cytof_data_tmp,J,not annotated,50000,0.9964936582831913,0.997313924269994,0.995674740484429
99,cytof_data_tmp,J,CD4+ EM T cell,50000,0.3316582914572864,0.2323943661971831,0.5789473684210527
100,cytof_data_tmp,J,NK cell,50000,0.9775438596491227,0.9714086471408647,0.9837570621468926
101,cytof_data_tmp,J,CD8+ TRM T cell,50000,0.946236559139785,0.9166666666666666,0.9777777777777777
102,cytof_data_tmp,J,CD4+ CM T cell,50000,0.8684903748733537,0.8615652640042883,0.8755277134686096
103,cytof_data_tmp,J,CD8+ EM T cell,50000,0.8641975308641976,0.8303886925795053,0.9008762322015335
104,cytof_data_tmp,J,Naive CD4+ T cell,50000,0.9034005037783376,0.9028319697923222,0.9039697542533082
105,cytof_data_tmp,J,CD8+ CM T cell,50000,0.6859504132231405,0.6036363636363636,0.7942583732057417
106,cytof_data_tmp,J,Naive CD8+ T cell,50000,0.9589735709895512,0.9617814763445831,0.956182013176038
107,cytof_data_tmp,J,Double negative T cell,50000,0.7461928934010152,0.6743119266055045,0.8352272727272727
108,cytof_data_tmp,J,Double positive T cell,50000,0.7084078711985689,0.5892857142857143,0.8878923766816144
109,cytof_data_tmp,J,CD4+ TRM T cell,50000,0.7219512195121952,0.6851851851851852,0.7628865979381443
110,cytof_data_tmp,J,CD8+ TE T cell,50000,0.832258064516129,0.7771084337349398,0.8958333333333334
111,cytof_data_tmp,J,CD4+ TEMRA,50000,0.6666666666666666,0.5,1.0
