,dataset,sample,celltype,subsample,f1,recall,precision
0,HIV_data_annotated,NL01,CD8+ T cell,0,0.9954686491966452,0.9955756970581457,0.995361624353008
1,HIV_data_annotated,NL01,NK cell,0,0.9990691013247405,0.9992837702334909,0.9988545246277205
2,HIV_data_annotated,NL01,Classical monocyte,0,0.9905279725282586,0.9929859288265416,0.9880821546322596
3,HIV_data_annotated,NL01,CD4+ T cell,0,0.9991741406933914,0.999438267219588,0.9989101537343748
4,HIV_data_annotated,NL01,T cell,0,0.9765473349244232,0.9688091930799343,0.9844100853275165
5,HIV_data_annotated,NL01,B cell,0,0.9972348191571728,0.9953632148377125,0.999113475177305
6,HIV_data_annotated,NL01,not annotated,0,0.9681808207153829,0.968818620992534,0.9675438596491228
7,HIV_data_annotated,NL01,Intermediate monocyte,0,0.8609806345282243,0.8776881720430108,0.8448972990457707
8,HIV_data_annotated,NL01,NK T cell,0,0.8685714285714284,0.7676767676767676,1.0
9,HIV_data_annotated,NL01,pDC,0,0.997275204359673,0.997275204359673,0.997275204359673
10,HIV_data_annotated,NL01,cDC,0,0.9854764434998228,0.9771689497716894,0.993926402286531
11,HIV_data_annotated,NL01,Non-classical monocyte,0,0.9584711503123853,0.9565376856776087,0.960412447063156
12,HIV_data_annotated,NL01,pre-DC,0,0.9957446808510638,0.9915254237288136,1.0
13,HIV_data_annotated,NL03,CD8+ T cell,0,0.9945734405751925,0.9959444064707222,0.993206243893572
14,HIV_data_annotated,NL03,NK cell,0,0.9988393122250115,0.999297866594653,0.9983811785020505
15,HIV_data_annotated,NL03,Classical monocyte,0,0.9942452117495445,0.9955281658805731,0.9929655600923132
16,HIV_data_annotated,NL03,CD4+ T cell,0,0.998500328960099,0.9991093297706524,0.9978920701225114
17,HIV_data_annotated,NL03,T cell,0,0.9187263896384242,0.8739219712525668,0.9683731513083049
18,HIV_data_annotated,NL03,B cell,0,0.9977597188666814,0.9976282501756851,0.9978912222124594
19,HIV_data_annotated,NL03,not annotated,0,0.9768833288006529,0.9726509612780937,0.9811526905217154
20,HIV_data_annotated,NL03,Intermediate monocyte,0,0.8896631823461092,0.8972556894243642,0.8821980914774596
21,HIV_data_annotated,NL03,NK T cell,0,0.9371478110099697,0.9130067567567568,0.96260017809439
22,HIV_data_annotated,NL03,pDC,0,0.9896157840083074,0.9885892116182573,0.9906444906444907
23,HIV_data_annotated,NL03,cDC,0,0.9815844336344685,0.9741379310344828,0.9891456582633054
24,HIV_data_annotated,NL03,Non-classical monocyte,0,0.9796503612198754,0.9798124655267513,0.9794883105425672
25,HIV_data_annotated,NL03,pre-DC,0,0.9989827060020346,0.9983733224888166,0.9995928338762216
26,HIV_data_annotated,NL05,CD8+ T cell,0,0.9911730726793619,0.9916622293796024,0.9906843983133312
27,HIV_data_annotated,NL05,NK cell,0,0.9959628275441803,0.9955078422415106,0.996418228928517
28,HIV_data_annotated,NL05,Classical monocyte,0,0.9923571644902104,0.9942347166443551,0.990486690257304
29,HIV_data_annotated,NL05,CD4+ T cell,0,0.997836731825033,0.9981797301625743,0.9974939691313207
30,HIV_data_annotated,NL05,T cell,0,0.9616069241446885,0.9595854246789649,0.9636369587274572
31,HIV_data_annotated,NL05,B cell,0,0.9968427248889602,0.9965227625314289,0.9971628927787591
32,HIV_data_annotated,NL05,not annotated,0,0.9718603439291297,0.9707474495107224,0.9729757929883138
33,HIV_data_annotated,NL05,Intermediate monocyte,0,0.8283752860411898,0.8104477611940298,0.8471138845553822
34,HIV_data_annotated,NL05,NK T cell,0,0.9399764613573951,0.9250965250965251,0.9553429027113237
35,HIV_data_annotated,NL05,pDC,0,0.9969188634029442,0.994535519125683,0.9993136582017845
36,HIV_data_annotated,NL05,cDC,0,0.9790052486878281,0.9707558859975217,0.9873960171414167
37,HIV_data_annotated,NL05,Non-classical monocyte,0,0.9801986799119942,0.980264035204694,0.9801333333333333
38,HIV_data_annotated,NL05,pre-DC,0,0.9981203007518797,0.9968710888610763,0.9993726474278545
39,HIV_data_annotated,NL07,CD8+ T cell,0,0.9963411491883536,0.9981414558595767,0.9945473251028807
40,HIV_data_annotated,NL07,NK cell,0,0.9995721009841677,1.0,0.9991445680068435
41,HIV_data_annotated,NL07,Classical monocyte,0,0.9937043370122804,0.9981263174330549,0.9893213650081251
42,HIV_data_annotated,NL07,CD4+ T cell,0,0.9991475907815818,0.9993799218701557,0.9989153676903529
43,HIV_data_annotated,NL07,T cell,0,0.864321608040201,0.7701492537313432,0.9847328244274809
44,HIV_data_annotated,NL07,B cell,0,0.9976674441852715,0.9960079840319361,0.9993324432576769
45,HIV_data_annotated,NL07,not annotated,0,0.9147609147609148,0.8943089430894309,0.9361702127659575
46,HIV_data_annotated,NL07,Intermediate monocyte,0,0.7703488372093023,0.6812339331619537,0.8862876254180602
47,HIV_data_annotated,NL07,NK T cell,0,0.8734177215189874,0.7752808988764045,1.0
48,HIV_data_annotated,NL07,pDC,0,0.9708222811671088,0.9631578947368421,0.9786096256684492
49,HIV_data_annotated,NL07,cDC,0,0.9815418023887079,0.9720430107526882,0.9912280701754386
50,HIV_data_annotated,NL07,Non-classical monocyte,0,0.9771547248182763,0.9812304483837331,0.9731127197518097
51,HIV_data_annotated,NL07,pre-DC,0,0.9953810623556583,1.0,0.9908045977011494
52,HIV_data_annotated,NL09,CD8+ T cell,0,0.9913724491420203,0.9909623217922607,0.9917829161093064
53,HIV_data_annotated,NL09,NK cell,0,0.9989916719572768,0.999626307922272,0.9983578413077555
54,HIV_data_annotated,NL09,Classical monocyte,0,0.9923362236250645,0.9943634931574283,0.9903172035103202
55,HIV_data_annotated,NL09,CD4+ T cell,0,0.9992530243404751,0.9994715358262264,0.9990346083788707
56,HIV_data_annotated,NL09,T cell,0,0.9532274191756471,0.9441021126760564,0.9625308503477675
57,HIV_data_annotated,NL09,B cell,0,0.9947565543071161,0.9903057419835943,0.999247554552295
58,HIV_data_annotated,NL09,not annotated,0,0.9401260504201681,0.9207818930041153,0.9603004291845494
59,HIV_data_annotated,NL09,Intermediate monocyte,0,0.8405357594136973,0.8124084025403029,0.8706806282722513
60,HIV_data_annotated,NL09,NK T cell,0,0.8909952606635071,0.8103448275862069,0.9894736842105263
61,HIV_data_annotated,NL09,pDC,0,0.9748953974895397,0.9708333333333333,0.9789915966386554
62,HIV_data_annotated,NL09,cDC,0,0.9868784530386739,0.9837081229921982,0.9900692840646651
63,HIV_data_annotated,NL09,Non-classical monocyte,0,0.9890541678360932,0.9884438460675418,0.989665243765446
64,HIV_data_annotated,NL09,pre-DC,0,0.996005326231691,0.9920424403183024,1.0
