,dataset,sample,celltype,subsample,f1,recall,precision
0,mono_merge_annotated,KR,not annotated,0,0.9996097622113095,0.9996610169491525,0.9995585127290749
1,mono_merge_annotated,KR,B cell,0,0.9990396441628898,0.9987199353230479,0.999359557757778
2,mono_merge_annotated,KR,classical monocyte,0,0.9945945945945945,0.9959968442275663,0.993196287824706
3,mono_merge_annotated,KR,dendritic cell Q4,0,0.9346938775510204,0.937244201909959,0.932157394843962
4,mono_merge_annotated,KR,intermediate monocyte,0,0.8692715870718766,0.8650984157465195,0.8734852157052836
5,mono_merge_annotated,KR,non-classical monocyte,0,0.9613059250302298,0.9513362584762665,0.9714867617107943
6,mono_merge_annotated,KR,dendritic cell Q3,0,0.909021113243762,0.8882220555138785,0.9308176100628931
7,mono_merge_annotated,KR,dendritic cell Q1,0,0.9717314487632509,0.9581881533101045,0.985663082437276
8,mono_merge_annotated,KW,not annotated,0,0.9994740864306081,0.9993618536371603,0.9995863444353739
9,mono_merge_annotated,KW,B cell,0,0.9993818903085936,0.9993357933579335,0.9994279915121321
10,mono_merge_annotated,KW,classical monocyte,0,0.9970643627405182,0.9978248887839062,0.9963049951355654
11,mono_merge_annotated,KW,dendritic cell Q4,0,0.834920634920635,0.7945619335347432,0.8795986622073578
12,mono_merge_annotated,KW,intermediate monocyte,0,0.8728283530229326,0.8590971272229823,0.8870056497175142
13,mono_merge_annotated,KW,non-classical monocyte,0,0.9738979746561246,0.9769665362885702,0.9708486288058734
14,mono_merge_annotated,KW,dendritic cell Q3,0,0.9265569917743831,0.919533527696793,0.9336885731201895
15,mono_merge_annotated,KW,dendritic cell Q1,0,0.9421052631578948,0.927461139896373,0.9572192513368984
16,mono_merge_annotated,MF,not annotated,0,0.999701245648407,0.9997263970262187,0.9996760955360934
17,mono_merge_annotated,MF,B cell,0,0.9995271950408013,0.9991597668352968,0.9998948935797495
18,mono_merge_annotated,MF,classical monocyte,0,0.9953750744542937,0.996702101533172,0.9940515763322719
19,mono_merge_annotated,MF,dendritic cell Q4,0,0.9191685912240185,0.9107551487414187,0.9277389277389277
20,mono_merge_annotated,MF,intermediate monocyte,0,0.886426592797784,0.8894379246448425,0.8834355828220859
21,mono_merge_annotated,MF,non-classical monocyte,0,0.9788031385408127,0.9791471415182755,0.9784593771950363
22,mono_merge_annotated,MF,dendritic cell Q3,0,0.9232067510548523,0.9036343612334802,0.9436457734330075
23,mono_merge_annotated,MF,dendritic cell Q1,0,0.9666666666666666,0.9618090452261306,0.9715736040609138
