,dataset,sample,celltype,subsample,f1,recall,precision
0,mono_merge_annotated,KR,not annotated,0,0.9996097622113095,0.9996610169491525,0.9995585127290749
1,mono_merge_annotated,KR,B cell,0,0.9990396441628898,0.9987199353230479,0.999359557757778
2,mono_merge_annotated,KR,monocyte,0,0.9976809254407267,0.998411742154554,0.9969511778297308
3,mono_merge_annotated,KR,dendritic cell,0,0.964891975308642,0.9473484848484849,0.9830974842767296
4,mono_merge_annotated,KW,not annotated,0,0.9994740864306081,0.9993618536371603,0.9995863444353739
5,mono_merge_annotated,KW,B cell,0,0.9993818903085936,0.9993357933579335,0.9994279915121321
6,mono_merge_annotated,KW,monocyte,0,0.9979907099336889,0.9987461455585689,0.9972364162439372
7,mono_merge_annotated,KW,dendritic cell,0,0.9619779763141492,0.951891447368421,0.9722805543889123
8,mono_merge_annotated,MF,not annotated,0,0.999701245648407,0.9997263970262187,0.9996760955360934
9,mono_merge_annotated,MF,B cell,0,0.9995271950408013,0.9991597668352968,0.9998948935797495
10,mono_merge_annotated,MF,monocyte,0,0.9976813251385646,0.9988551985117581,0.9965102076426453
11,mono_merge_annotated,MF,dendritic cell,0,0.9743025972241308,0.9620081411126187,0.9869153674832962
