,dataset,sample,celltype,subsample,f1,recall,precision
0,cytof_data_tmp,T,not annotated,0,0.99783057646101,0.9976918953262122,0.9979692961550684
1,cytof_data_tmp,T,CCR7- CD4+ T cell,0,0.9129634499079674,0.8963469730218149,0.9302076356329538
2,cytof_data_tmp,T,NK cell,0,0.992457865575958,0.9920549772377998,0.9928610812850054
3,cytof_data_tmp,T,CCR7- CD8+ T cell,0,0.979610849628803,0.980210133809792,0.979012297784847
4,cytof_data_tmp,T,CCR7+ CD4+ T cell,0,0.985667780594607,0.9858097790071167,0.9855258230837918
5,cytof_data_tmp,T,CCR7+ CD8+ T cell,0,0.9836391510563885,0.9808666157080069,0.986427404631498
6,cytof_data_tmp,T,Double negative T cell,0,0.9510989947180098,0.939256267878176,0.963244176013805
7,cytof_data_tmp,T,Double positive T cell,0,0.9298002768439787,0.9154984423676013,0.9445560466050623
8,cytof_data_tmp,U,not annotated,0,0.9989423896119157,0.9986050131422446,0.999279994122401
9,cytof_data_tmp,U,CCR7- CD4+ T cell,0,0.8916713562183456,0.8493701420530689,0.9384068700029612
10,cytof_data_tmp,U,NK cell,0,0.9946146078761359,0.9939455095862765,0.9952846076119906
11,cytof_data_tmp,U,CCR7- CD8+ T cell,0,0.9816245921346386,0.979186295503212,0.9840750624085393
12,cytof_data_tmp,U,CCR7+ CD4+ T cell,0,0.9903528114663727,0.9922307933059631,0.9884819250591493
13,cytof_data_tmp,U,CCR7+ CD8+ T cell,0,0.9874863982589772,0.9842733188720173,0.9907205240174672
14,cytof_data_tmp,U,Double negative T cell,0,0.9305039787798408,0.8985655737704918,0.9647964796479648
15,cytof_data_tmp,U,Double positive T cell,0,0.8891098955743411,0.8530534351145038,0.9283489096573209
16,cytof_data_tmp,B,not annotated,0,0.9987758551466026,0.9987786593891612,0.9987730509197906
17,cytof_data_tmp,B,CCR7- CD4+ T cell,0,0.9020963172804531,0.8685358935195286,0.9383545497406883
18,cytof_data_tmp,B,NK cell,0,0.9975882859603791,0.9975221942493706,0.9976543864298967
19,cytof_data_tmp,B,CCR7- CD8+ T cell,0,0.9878781212187879,0.9888135294635779,0.9869444810760912
20,cytof_data_tmp,B,CCR7+ CD4+ T cell,0,0.994398484640316,0.9954051287601062,0.9933938744836152
21,cytof_data_tmp,B,CCR7+ CD8+ T cell,0,0.9837648425523001,0.980953285225978,0.986592562883172
22,cytof_data_tmp,B,Double negative T cell,0,0.9044707680550248,0.8496051687006461,0.9669117647058824
23,cytof_data_tmp,B,Double positive T cell,0,0.9517026932143037,0.9395919984155279,0.9641296616197541
24,cytof_data_tmp,A,not annotated,0,0.9977214840830425,0.99738132544104,0.9980618748276012
25,cytof_data_tmp,A,CCR7- CD4+ T cell,0,0.9786376461104392,0.977953869169941,0.9793223799018801
26,cytof_data_tmp,A,NK cell,0,0.9958683783384978,0.9945475979958739,0.9971926713947991
27,cytof_data_tmp,A,CCR7- CD8+ T cell,0,0.9931217298822623,0.9938387814478864,0.9924057122715572
