,level,metric,score
0,lvl2,f1,0.98072
1,lvl2,f1,0.836499
2,lvl2,f1,0.987428
3,lvl2,f1,0.894933
4,lvl2,f1,0.752048
5,lvl2,f1,0.865133
6,lvl2,f1,0.960394
7,lvl2,f1,0.767714
8,lvl2,f1,0.956033
9,lvl2,f1,0.77166
10,lvl2,f1,0.956263
11,lvl2,f1,0.891049
12,lvl2,f1,0.944031
13,lvl2,f1,0.839425
14,lvl2,f1,0.96974
15,lvl2,f1,0.813409
16,lvl3,f1,0.939343
17,lvl3,f1,0.962362
18,lvl3,f1,0.216495
19,lvl3,f1,0.385353
20,lvl3,f1,0.83716
21,lvl3,f1,0.948551
22,lvl3,f1,0.952016
23,lvl3,f1,0.031088
24,lvl3,f1,0.192531
25,lvl3,f1,0.894933
26,lvl3,f1,0.923502
27,lvl3,f1,0.843337
28,lvl3,f1,0.132999
29,lvl3,f1,0.255924
30,lvl3,f1,0.843208
31,lvl3,f1,0.973889
32,lvl3,f1,0.947432
33,lvl3,f1,0.296599
34,lvl3,f1,0.237935
35,lvl3,f1,0.83179
36,lvl3,f1,0.968167
37,lvl3,f1,0.93729
38,lvl3,f1,0.518018
39,lvl3,f1,0.05794
40,lvl3,f1,0.765337
41,lvl3,f1,0.949042
42,lvl3,f1,0.92532
43,lvl3,f1,0.744844
44,lvl3,f1,0.157316
45,lvl3,f1,0.891049
46,lvl3,f1,0.971634
47,lvl3,f1,0.892597
48,lvl3,f1,0.28
49,lvl3,f1,0.178042
50,lvl3,f1,0.778706
51,lvl3,f1,0.974991
52,lvl3,f1,0.963687
53,lvl3,f1,0.102454
54,lvl3,f1,0.711238
55,lvl3,f1,0.825258
56,lvl4,f1,0.752831
57,lvl4,f1,0.846589
58,lvl4,f1,0.880761
59,lvl4,f1,0.681672
60,lvl4,f1,0.201258
61,lvl4,f1,0.287671
62,lvl4,f1,0.835378
63,lvl4,f1,0.340584
64,lvl4,f1,0.938465
65,lvl4,f1,0.865943
66,lvl4,f1,0.842291
67,lvl4,f1,0.039352
68,lvl4,f1,0.195062
69,lvl4,f1,0.894933
70,lvl4,f1,0.666667
71,lvl4,f1,0.937883
72,lvl4,f1,0.788134
73,lvl4,f1,0.761089
74,lvl4,f1,0.115617
75,lvl4,f1,0.155668
76,lvl4,f1,0.877879
77,lvl4,f1,0.643798
78,lvl4,f1,0.929496
79,lvl4,f1,0.849782
80,lvl4,f1,0.863256
81,lvl4,f1,0.418687
82,lvl4,f1,0.273077
83,lvl4,f1,0.915911
84,lvl4,f1,0.136294
85,lvl4,f1,0.955648
86,lvl4,f1,0.373642
87,lvl4,f1,0.873934
88,lvl4,f1,0.602041
