,level,metric,score
0,lvl2,f1,0.98072
1,lvl2,f1,0.874764
2,lvl2,f1,0.987428
3,lvl2,f1,0.895073
4,lvl2,f1,0.752048
5,lvl2,f1,0.865248
6,lvl2,f1,0.960394
7,lvl2,f1,0.767714
8,lvl2,f1,0.956033
9,lvl2,f1,0.77166
10,lvl2,f1,0.956263
11,lvl2,f1,0.891574
12,lvl2,f1,0.944031
13,lvl2,f1,0.839425
14,lvl2,f1,0.96974
15,lvl2,f1,0.814322
16,lvl3,f1,0.946963
17,lvl3,f1,0.962362
18,lvl3,f1,0.430108
19,lvl3,f1,0.385353
20,lvl3,f1,0.89778
21,lvl3,f1,0.955456
22,lvl3,f1,0.952016
23,lvl3,f1,0.411067
24,lvl3,f1,0.674487
25,lvl3,f1,0.895073
26,lvl3,f1,0.923502
27,lvl3,f1,0.843337
28,lvl3,f1,0.30303
29,lvl3,f1,0.255924
30,lvl3,f1,0.843286
31,lvl3,f1,0.988052
32,lvl3,f1,0.947432
33,lvl3,f1,0.562821
34,lvl3,f1,0.428044
35,lvl3,f1,0.832213
36,lvl3,f1,0.982509
37,lvl3,f1,0.93729
38,lvl3,f1,0.60815
39,lvl3,f1,0.262211
40,lvl3,f1,0.765337
41,lvl3,f1,0.949042
42,lvl3,f1,0.92532
43,lvl3,f1,0.763906
44,lvl3,f1,0.35468
45,lvl3,f1,0.891574
46,lvl3,f1,0.972377
47,lvl3,f1,0.892597
48,lvl3,f1,0.28
49,lvl3,f1,0.178042
50,lvl3,f1,0.779796
51,lvl3,f1,0.980682
52,lvl3,f1,0.96814
53,lvl3,f1,0.507042
54,lvl3,f1,0.726415
55,lvl3,f1,0.825924
56,lvl4,f1,0.837438
57,lvl4,f1,0.863522
58,lvl4,f1,0.943835
59,lvl4,f1,0.755746
60,lvl4,f1,0.528736
61,lvl4,f1,0.298013
62,lvl4,f1,0.879379
63,lvl4,f1,0.461709
64,lvl4,f1,0.94353
65,lvl4,f1,0.873932
66,lvl4,f1,0.87818
67,lvl4,f1,0.279279
68,lvl4,f1,0.708098
69,lvl4,f1,0.895073
70,lvl4,f1,0.669505
71,lvl4,f1,0.944955
72,lvl4,f1,0.788694
73,lvl4,f1,0.764615
74,lvl4,f1,0.344828
75,lvl4,f1,0.384615
76,lvl4,f1,0.878322
77,lvl4,f1,0.695953
78,lvl4,f1,0.946139
79,lvl4,f1,0.8536
80,lvl4,f1,0.920918
81,lvl4,f1,0.613636
82,lvl4,f1,0.5
83,lvl4,f1,0.916034
84,lvl4,f1,0.44484
85,lvl4,f1,0.970123
86,lvl4,f1,0.630842
87,lvl4,f1,0.943
88,lvl4,f1,0.702247
89,lvl4,f1,0.303614
90,lvl4,f1,0.794861
91,lvl4,f1,0.573224
92,lvl4,f1,0.895153
93,lvl4,f1,0.846038
94,lvl4,f1,0.889076
95,lvl4,f1,0.766482
96,lvl4,f1,0.50495
97,lvl4,f1,0.891574
98,lvl4,f1,0.663348
99,lvl4,f1,0.927121
100,lvl4,f1,0.853537
101,lvl4,f1,0.917286
102,lvl4,f1,0.58251
103,lvl4,f1,0.219653
104,lvl4,f1,0.824805
105,lvl4,f1,0.343006
106,lvl4,f1,0.940768
107,lvl4,f1,0.827423
108,lvl4,f1,0.911509
109,lvl4,f1,0.571429
110,lvl4,f1,0.513011
111,lvl4,f1,0.84178
112,lvl5,f1,0.568107
113,lvl5,f1,0.928461
114,lvl5,f1,0.202899
115,lvl5,f1,0.733615
116,lvl5,f1,0.541176
117,lvl5,f1,0.891476
118,lvl5,f1,0.755441
119,lvl5,f1,0.843028
120,lvl5,f1,0.494624
121,lvl5,f1,0.692236
122,lvl5,f1,0.440678
123,lvl5,f1,0.354057
124,lvl5,f1,0.827905
125,lvl5,f1,0.816772
126,lvl5,f1,0.363636
127,lvl5,f1,0.527911
128,lvl5,f1,0.703617
129,lvl5,f1,0.547231
130,lvl5,f1,0.895073
131,lvl5,f1,0.873211
132,lvl5,f1,0.298755
133,lvl5,f1,0.432749
134,lvl5,f1,0.733061
135,lvl5,f1,0.567376
136,lvl5,f1,0.712329
137,lvl5,f1,0.839803
138,lvl5,f1,0.82628
139,lvl5,f1,0.938553
140,lvl5,f1,0.514382
141,lvl5,f1,0.75663
142,lvl5,f1,0.158621
143,lvl5,f1,0.873944
144,lvl5,f1,0.834059
145,lvl5,f1,0.413493
146,lvl5,f1,0.536082
147,lvl5,f1,0.600979
148,lvl5,f1,0.712871
149,lvl5,f1,0.325581
150,lvl5,f1,0.781493
151,lvl5,f1,0.834151
152,lvl5,f1,0.632258
153,lvl5,f1,0.424837
154,lvl5,f1,0.66731
155,lvl5,f1,0.562044
156,lvl5,f1,0.832296
157,lvl5,f1,0.922083
158,lvl5,f1,0.474009
159,lvl5,f1,0.474359
160,lvl5,f1,0.526408
161,lvl5,f1,0.689024
162,lvl5,f1,0.379642
163,lvl5,f1,0.925776
164,lvl5,f1,0.692664
165,lvl5,f1,0.8
166,lvl5,f1,0.237389
167,lvl5,f1,0.582809
168,lvl5,f1,0.59375
169,lvl5,f1,0.797837
170,lvl5,f1,0.938422
171,lvl5,f1,0.476404
172,lvl5,f1,0.503311
173,lvl5,f1,0.659472
174,lvl5,f1,0.588235
175,lvl5,f1,0.211082
176,lvl5,f1,0.826779
177,lvl5,f1,0.645528
178,lvl5,f1,0.683576
179,lvl5,f1,0.435345
180,lvl5,f1,0.853395
181,lvl5,f1,0.770654
182,lvl5,f1,0.891574
183,lvl5,f1,0.872513
184,lvl5,f1,0.56305
185,lvl5,f1,0.586538
186,lvl5,f1,0.595369
187,lvl5,f1,0.649573
188,lvl5,f1,0.255411
189,lvl5,f1,0.667695
190,lvl5,f1,0.836092
191,lvl5,f1,0.545455
192,lvl5,f1,0.441176
193,lvl5,f1,0.620879
194,lvl5,f1,0.388087
195,lvl5,f1,0.827558
196,lvl5,f1,0.920073
197,lvl5,f1,0.544
198,lvl5,f1,0.355556
199,lvl5,f1,0.776538
200,lvl5,f1,0.615385
201,lvl5,f1,0.398977
202,lvl5,f1,0.668347
203,lvl5,f1,0.826816
204,lvl5,f1,0.554217
205,lvl5,f1,0.488228
206,lvl5,f1,0.702703
207,lvl5,f1,0.53913
208,lvl5,f1,0.860867
209,lvl5,f1,0.920031
210,lvl5,f1,0.407432
211,lvl5,f1,0.529081
212,lvl5,f1,0.789656
213,lvl5,f1,0.637255
214,lvl5,f1,0.589226
215,lvl5,f1,0.715527
216,lvl2,recall,0.969219
217,lvl2,recall,0.778713
218,lvl2,recall,0.993946
219,lvl2,recall,0.812377
220,lvl2,recall,0.603249
221,lvl2,recall,0.76537
222,lvl2,recall,0.928599
223,lvl2,recall,0.624448
224,lvl2,recall,0.918105
225,lvl2,recall,0.630404
226,lvl2,recall,0.918333
227,lvl2,recall,0.8055
228,lvl2,recall,0.89862
229,lvl2,recall,0.739508
230,lvl2,recall,0.943373
231,lvl2,recall,0.687533
232,lvl3,recall,0.906975
233,lvl3,recall,0.935204
234,lvl3,recall,0.344828
235,lvl3,recall,0.290789
236,lvl3,recall,0.816576
237,lvl3,recall,0.917109
238,lvl3,recall,0.925457
239,lvl3,recall,0.275132
240,lvl3,recall,0.732484
241,lvl3,recall,0.812377
242,lvl3,recall,0.860861
243,lvl3,recall,0.73126
244,lvl3,recall,0.180723
245,lvl3,recall,0.164634
246,lvl3,recall,0.730866
247,lvl3,recall,0.982023
248,lvl3,recall,0.930009
249,lvl3,recall,0.39648
250,lvl3,recall,0.317518
251,lvl3,recall,0.719266
252,lvl3,recall,0.968491
253,lvl3,recall,0.886137
254,lvl3,recall,0.444954
255,lvl3,recall,0.151786
256,lvl3,recall,0.622036
257,lvl3,recall,0.908486
258,lvl3,recall,0.877521
259,lvl3,recall,0.628049
260,lvl3,recall,0.279793
261,lvl3,recall,0.8055
262,lvl3,recall,0.950049
263,lvl3,recall,0.813939
264,lvl3,recall,0.176393
265,lvl3,recall,0.098361
266,lvl3,recall,0.662808
267,lvl3,recall,0.967537
268,lvl3,recall,0.940326
269,lvl3,recall,0.350649
270,lvl3,recall,0.704268
271,lvl3,recall,0.705725
272,lvl4,recall,0.786927
273,lvl4,recall,0.783508
274,lvl4,recall,0.905134
275,lvl4,recall,0.619808
276,lvl4,recall,0.396552
277,lvl4,recall,0.177632
278,lvl4,recall,0.786706
279,lvl4,recall,0.382353
280,lvl4,recall,0.912313
281,lvl4,recall,0.798261
282,lvl4,recall,0.80982
283,lvl4,recall,0.164021
284,lvl4,recall,0.598726
285,lvl4,recall,0.812377
286,lvl4,recall,0.507301
287,lvl4,recall,0.948004
288,lvl4,recall,0.695198
289,lvl4,recall,0.652251
290,lvl4,recall,0.220884
291,lvl4,recall,0.243902
292,lvl4,recall,0.787955
293,lvl4,recall,0.588993
294,lvl4,recall,0.928033
295,lvl4,recall,0.812407
296,lvl4,recall,0.882641
297,lvl4,recall,0.447205
298,lvl4,recall,0.346715
299,lvl4,recall,0.855682
300,lvl4,recall,0.31407
301,lvl4,recall,0.968391
302,lvl4,recall,0.57659
303,lvl4,recall,0.916976
304,lvl4,recall,0.573394
305,lvl4,recall,0.1875
306,lvl4,recall,0.668759
307,lvl4,recall,0.436364
308,lvl4,recall,0.831205
309,lvl4,recall,0.757931
310,lvl4,recall,0.822042
311,lvl4,recall,0.632114
312,lvl4,recall,0.396373
313,lvl4,recall,0.8055
314,lvl4,recall,0.556949
315,lvl4,recall,0.884718
316,lvl4,recall,0.837543
317,lvl4,recall,0.937463
318,lvl4,recall,0.507958
319,lvl4,recall,0.12459
320,lvl4,recall,0.715388
321,lvl4,recall,0.382255
322,lvl4,recall,0.929818
323,lvl4,recall,0.770925
324,lvl4,recall,0.856047
325,lvl4,recall,0.422078
326,lvl4,recall,0.420732
327,lvl4,recall,0.728732
328,lvl5,recall,0.519896
329,lvl5,recall,0.872632
330,lvl5,recall,0.12069
331,lvl5,recall,0.788995
332,lvl5,recall,0.396552
333,lvl5,recall,0.805217
334,lvl5,recall,0.625535
335,lvl5,recall,0.792499
336,lvl5,recall,0.338235
337,lvl5,recall,0.605721
338,lvl5,recall,0.282609
339,lvl5,recall,0.221053
340,lvl5,recall,0.742038
341,lvl5,recall,0.806443
342,lvl5,recall,0.222222
343,lvl5,recall,0.446092
344,lvl5,recall,0.616461
345,lvl5,recall,0.444444
346,lvl5,recall,0.812377
347,lvl5,recall,0.873843
348,lvl5,recall,0.182741
349,lvl5,recall,0.280303
350,lvl5,recall,0.653566
351,lvl5,recall,0.4
352,lvl5,recall,0.579618
353,lvl5,recall,0.801617
354,lvl5,recall,0.838335
355,lvl5,recall,0.892134
356,lvl5,recall,0.397906
357,lvl5,recall,0.658073
358,lvl5,recall,0.092369
359,lvl5,recall,0.778545
360,lvl5,recall,0.754156
361,lvl5,recall,0.29734
362,lvl5,recall,0.42623
363,lvl5,recall,0.511147
364,lvl5,recall,0.576
365,lvl5,recall,0.213415
366,lvl5,recall,0.749723
367,lvl5,recall,0.852229
368,lvl5,recall,0.521893
369,lvl5,recall,0.307571
370,lvl5,recall,0.848871
371,lvl5,recall,0.398551
372,lvl5,recall,0.715083
373,lvl5,recall,0.868047
374,lvl5,recall,0.357238
375,lvl5,recall,0.336364
376,lvl5,recall,0.40402
377,lvl5,recall,0.530516
378,lvl5,recall,0.251825
379,lvl5,recall,0.909233
380,lvl5,recall,0.691504
381,lvl5,recall,0.666667
382,lvl5,recall,0.145455
383,lvl5,recall,0.418675
384,lvl5,recall,0.43578
385,lvl5,recall,0.668759
386,lvl5,recall,0.901834
387,lvl5,recall,0.373239
388,lvl5,recall,0.351852
389,lvl5,recall,0.586068
390,lvl5,recall,0.416667
391,lvl5,recall,0.119048
392,lvl5,recall,0.836249
393,lvl5,recall,0.613258
394,lvl5,recall,0.530512
395,lvl5,recall,0.324759
396,lvl5,recall,0.751869
397,lvl5,recall,0.635163
398,lvl5,recall,0.8055
399,lvl5,recall,0.839767
400,lvl5,recall,0.509014
401,lvl5,recall,0.465649
402,lvl5,recall,0.455903
403,lvl5,recall,0.493506
404,lvl5,recall,0.15285
405,lvl5,recall,0.730493
406,lvl5,recall,0.866012
407,lvl5,recall,0.375
408,lvl5,recall,0.357143
409,lvl5,recall,0.518349
410,lvl5,recall,0.285146
411,lvl5,recall,0.728654
412,lvl5,recall,0.931937
413,lvl5,recall,0.406699
414,lvl5,recall,0.228571
415,lvl5,recall,0.794725
416,lvl5,recall,0.509804
417,lvl5,recall,0.255738
418,lvl5,recall,0.536421
419,lvl5,recall,0.882969
420,lvl5,recall,0.396552
421,lvl5,recall,0.399594
422,lvl5,recall,0.573529
423,lvl5,recall,0.402597
424,lvl5,recall,0.759765
425,lvl5,recall,0.871668
426,lvl5,recall,0.391083
427,lvl5,recall,0.38843
428,lvl5,recall,0.79443
429,lvl5,recall,0.503876
430,lvl5,recall,0.533537
431,lvl5,recall,0.668161
432,lvl2,precision,0.992498
433,lvl2,precision,0.997844
434,lvl2,precision,0.980996
435,lvl2,precision,0.996513
436,lvl2,precision,0.998289
437,lvl2,precision,0.995106
