,sample,cluster,f1,recall,precision,hierarchy,level
0,A,cluster_CD4+ CM T cell,0.568107,0.519896,0.626172,5,lvl5
0,A,cluster_CD4+ TEMRA,0.928461,0.872632,0.991923,5,lvl5
0,A,cluster_CD8+ CM T cell,0.202899,0.12069,0.636364,3,lvl5
0,A,cluster_CD8+ TE T cell,0.733615,0.788995,0.6855,3,lvl5
0,A,cluster_Double negative T cell,0.541176,0.396552,0.851852,5,lvl5
0,A,cluster_NK cell,0.891476,0.805217,0.998435,4,lvl5
0,A,cluster_Naive CD8+ T cell,0.755441,0.625535,0.953445,5,lvl5
0,A,cluster_CD4+ EM T cell,0.843028,0.792499,0.900438,5,lvl5
0,A,cluster_CD4+ TRM T cell,0.494624,0.338235,0.92,5,lvl5
0,A,cluster_CD8+ EM T cell,0.692236,0.605721,0.807584,5,lvl5
0,A,cluster_CD8+ TRM T cell,0.440678,0.282609,1.0,5,lvl5
0,A,cluster_Double positive T cell,0.354057,0.221053,0.888889,3,lvl5
0,A,cluster_Naive CD4+ T cell,0.827905,0.742038,0.936244,5,lvl5
0,B,cluster_CD4+ CM T cell,0.816772,0.806443,0.82737,3,lvl5
0,B,cluster_CD4+ TEMRA,0.363636,0.222222,1.0,4,lvl5
0,B,cluster_CD8+ CM T cell,0.527911,0.446092,0.646484,4,lvl5
0,B,cluster_CD8+ TE T cell,0.703617,0.616461,0.819475,3,lvl5
0,B,cluster_Double negative T cell,0.547231,0.444444,0.711864,4,lvl5
0,B,cluster_NK cell,0.895073,0.812377,0.996513,3,lvl5
0,B,cluster_Naive CD8+ T cell,0.873211,0.873843,0.87258,3,lvl5
0,B,cluster_CD4+ EM T cell,0.298755,0.182741,0.818182,5,lvl5
0,B,cluster_CD4+ TRM T cell,0.432749,0.280303,0.948718,3,lvl5
0,B,cluster_CD8+ EM T cell,0.733061,0.653566,0.834572,3,lvl5
0,B,cluster_CD8+ TRM T cell,0.567376,0.4,0.97561,4,lvl5
0,B,cluster_Double positive T cell,0.712329,0.579618,0.923858,4,lvl5
0,B,cluster_Naive CD4+ T cell,0.839803,0.801617,0.881808,5,lvl5
0,C,cluster_CD4+ CM T cell,0.82628,0.838335,0.814566,3,lvl5
0,C,cluster_CD4+ TEMRA,0.938553,0.892134,0.990068,3,lvl5
0,C,cluster_CD8+ CM T cell,0.514382,0.397906,0.727273,5,lvl5
0,C,cluster_CD8+ TE T cell,0.75663,0.658073,0.889908,5,lvl5
0,C,cluster_Double negative T cell,0.158621,0.092369,0.560976,3,lvl5
0,C,cluster_NK cell,0.873944,0.778545,0.995987,3,lvl5
0,C,cluster_Naive CD8+ T cell,0.834059,0.754156,0.9329,3,lvl5
0,C,cluster_CD4+ EM T cell,0.413493,0.29734,0.678571,5,lvl5
