"","sample","cell_type","set_size","score","value"
"1","0","B cell","full","precision",0.929577464788732
"2","0","B cell","full","recall",0.93265621550011
"3","0","B cell","full","f1",0.931114295161468
"4","0","B cell","subset","precision",1
"5","0","B cell","subset","recall",0.931
"6","0","B cell","subset","f1",0.964267219057483
"7","0","Dendritic cell","full","precision",0.556378323796701
"8","0","Dendritic cell","full","recall",0.992196878751501
"9","0","Dendritic cell","full","f1",0.712960966141902
"10","0","Dendritic cell","subset","precision",0.993013972055888
"11","0","Dendritic cell","subset","recall",0.995
"12","0","Dendritic cell","subset","f1",0.994005994005994
"13","0","Monocyte","full","precision",0.966020924899675
"14","0","Monocyte","full","recall",0.997053820172086
"15","0","Monocyte","full","f1",0.981292083712466
"16","0","Monocyte","subset","precision",0.988136431043005
"17","0","Monocyte","subset","recall",0.9995
"18","0","Monocyte","subset","f1",0.993785732040766
"19","0","NK cell","full","precision",0.969857661177784
"20","0","NK cell","full","recall",0.995559375447644
"21","0","NK cell","full","f1",0.982540467943734
"22","0","NK cell","subset","precision",0.999499749874938
"23","0","NK cell","subset","recall",0.999
"24","0","NK cell","subset","f1",0.999249812453113
"25","0","T cell","full","precision",0.999325149887762
"26","0","T cell","full","recall",0.993769382377666
"27","0","T cell","full","f1",0.996539522758748
"28","0","T cell","subset","precision",0.999498243853487
"29","0","T cell","subset","recall",0.996
"30","0","T cell","subset","f1",0.997746055597295
"31","1","B cell","full","precision",0.973878478137422
"32","1","B cell","full","recall",0.903900210822207
"33","1","B cell","full","f1",0.937585421412301
"34","1","B cell","subset","precision",1
"35","1","B cell","subset","recall",0.895
"36","1","B cell","subset","f1",0.944591029023747
"37","1","Dendritic cell","full","precision",0.699921180047292
"38","1","Dendritic cell","full","recall",0.98307765301281
"39","1","Dendritic cell","full","f1",0.81767955801105
"40","1","Dendritic cell","subset","precision",0.994974874371859
"41","1","Dendritic cell","subset","recall",0.99
"42","1","Dendritic cell","subset","f1",0.992481203007519
"43","1","Monocyte","full","precision",0.943789197012293
"44","1","Monocyte","full","recall",0.995315871651375
"45","1","Monocyte","full","f1",0.968867940639035
"46","1","Monocyte","subset","precision",0.98813056379822
"47","1","Monocyte","subset","recall",0.999
"48","1","Monocyte","subset","f1",0.993535554450522
"49","1","NK cell","full","precision",0.962152541485631
"50","1","NK cell","full","recall",0.992708614636781
