"","sample","cell_type","set_size","score","value"
"1","A","CD4+ CM T cell","full","precision",0.529085155689398
"2","A","CD4+ CM T cell","full","recall",0.927456438808125
"3","A","CD4+ CM T cell","full","f1",0.673792545541707
"4","A","CD4+ CM T cell","subset","precision",0.899810066476733
"5","A","CD4+ CM T cell","subset","recall",0.9475
"6","A","CD4+ CM T cell","subset","f1",0.923039454456892
"7","A","CD4+ EM T cell","full","precision",0.622361712625404
"8","A","CD4+ EM T cell","full","recall",0.930876142839572
"9","A","CD4+ EM T cell","full","f1",0.745979334023294
"10","A","CD4+ EM T cell","subset","precision",0.966785896780787
"11","A","CD4+ EM T cell","subset","recall",0.946
"12","A","CD4+ EM T cell","subset","f1",0.956280010108668
"13","A","CD4+ TEMRA","full","precision",0.826090523724873
"14","A","CD4+ TEMRA","full","recall",0.934331405239877
"15","A","CD4+ TEMRA","full","f1",0.876883328011147
"16","A","CD4+ TEMRA","subset","precision",0.988396624472574
"17","A","CD4+ TEMRA","subset","recall",0.937
"18","A","CD4+ TEMRA","subset","f1",0.962012320328542
"19","A","CD8+ EM T cell","full","precision",0.597888534249939
"20","A","CD8+ EM T cell","full","recall",0.942560767920731
"21","A","CD8+ EM T cell","full","f1",0.731664813868942
"22","A","CD8+ EM T cell","subset","precision",0.929054054054054
"23","A","CD8+ EM T cell","subset","recall",0.9625
"24","A","CD8+ EM T cell","subset","f1",0.945481335952849
"25","A","CD8+ TE T cell","full","precision",0.485715060175648
"26","A","CD8+ TE T cell","full","recall",0.965047393364929
"27","A","CD8+ TE T cell","full","f1",0.646195456184638
"28","A","CD8+ TE T cell","subset","precision",0.91006026889198
"29","A","CD8+ TE T cell","subset","recall",0.9815
"30","A","CD8+ TE T cell","subset","f1",0.944431080105846
"31","A","CD8+ TRM T cell","full","precision",0.0452794485368656
"32","A","CD8+ TRM T cell","full","recall",0.978102189781022
"33","A","CD8+ TRM T cell","full","f1",0.0865521250484434
"34","A","CD8+ TRM T cell","subset","precision",0.980966325036603
"35","A","CD8+ TRM T cell","subset","recall",0.978102189781022
"36","A","CD8+ TRM T cell","subset","f1",0.97953216374269
"37","A","Double negative T cell","full","precision",0.0225560538116592
"38","A","Double negative T cell","full","recall",0.938432835820896
"39","A","Double negative T cell","full","f1",0.0440532492555614
"40","A","Double negative T cell","subset","precision",0.954459203036053
"41","A","Double negative T cell","subset","recall",0.938432835820896
"42","A","Double negative T cell","subset","f1",0.946378174976482
"43","A","Double positive T cell","full","precision",0.127478753541076
"44","A","Double positive T cell","full","recall",0.848773159739609
"45","A","Double positive T cell","full","f1",0.221665213600697
"46","A","Double positive T cell","subset","precision",0.920828905419766
"47","A","Double positive T cell","subset","recall",0.8665
"48","A","Double positive T cell","subset","f1",0.892838742916023
"49","A","NK cell","full","precision",0.780031384856807
"50","A","NK cell","full","recall",0.976667649081442
"51","A","NK cell","full","f1",0.867344268016053
"52","A","NK cell","subset","precision",0.987481221832749
"53","A","NK cell","subset","recall",0.986
"54","A","NK cell","subset","f1",0.986740055041281
"55","A","Naive CD4+ T cell","full","precision",0.721796339783026
"56","A","Naive CD4+ T cell","full","recall",0.929590842060536
"57","A","Naive CD4+ T cell","full","f1",0.812620171298724
"58","A","Naive CD4+ T cell","subset","precision",0.964014191586417
"59","A","Naive CD4+ T cell","subset","recall",0.951
"60","A","Naive CD4+ T cell","subset","f1",0.957462874402215
"61","A","Naive CD8+ T cell","full","precision",0.328110100255148
"62","A","Naive CD8+ T cell","full","recall",0.894596303843721
"63","A","Naive CD8+ T cell","full","f1",0.480125207421934
"64","A","Naive CD8+ T cell","subset","precision",0.94874532835024
"65","A","Naive CD8+ T cell","subset","recall",0.8885
"66","A","Naive CD8+ T cell","subset","f1",0.917634908339788
"67","A","CD4+ TRM T cell","full","precision",0.346796182685753
"68","A","CD4+ TRM T cell","full","recall",0.990990990990991
"69","A","CD4+ TRM T cell","full","f1",0.513791579877548
"70","A","CD4+ TRM T cell","subset","precision",0.988568588469185
"71","A","CD4+ TRM T cell","subset","recall",0.9945
"72","A","CD4+ TRM T cell","subset","f1",0.991525423728814
"73","A","CD8+ CM T cell","full","precision",0.107520741661348
"74","A","CD8+ CM T cell","full","recall",0.966777408637874
"75","A","CD8+ CM T cell","full","f1",0.193519134272414
"76","A","CD8+ CM T cell","subset","precision",0.944011684518014
"77","A","CD8+ CM T cell","subset","recall",0.9695
"78","A","CD8+ CM T cell","subset","f1",0.956586087814504
"79","B","CD4+ CM T cell","full","precision",0.691677580664365
"80","B","CD4+ CM T cell","full","recall",0.943436672783669
"81","B","CD4+ CM T cell","full","f1",0.798175410635652
"82","B","CD4+ CM T cell","subset","precision",0.92686494392979
"83","B","CD4+ CM T cell","subset","recall",0.9505
"84","B","CD4+ CM T cell","subset","f1",0.938533695383856
"85","B","CD4+ EM T cell","full","precision",0.0512061004941957
"86","B","CD4+ EM T cell","full","recall",0.953073269036994
"87","B","CD4+ EM T cell","full","f1",0.097190417474018
"88","B","CD4+ EM T cell","subset","precision",0.87201442091032
"89","B","CD4+ EM T cell","subset","recall",0.9675
"90","B","CD4+ EM T cell","subset","f1",0.917278976060678
"91","B","CD4+ TEMRA","full","precision",0.0107162067110762
"92","B","CD4+ TEMRA","full","recall",0.938405797101449
"93","B","CD4+ TEMRA","full","f1",0.0211904274902843
"94","B","CD4+ TEMRA","subset","precision",1
"95","B","CD4+ TEMRA","subset","recall",0.938405797101449
"96","B","CD4+ TEMRA","subset","f1",0.968224299065421
"97","B","CD8+ EM T cell","full","precision",0.618361241244956
"98","B","CD8+ EM T cell","full","recall",0.958806818181818
"99","B","CD8+ EM T cell","full","f1",0.751839945859064
"100","B","CD8+ EM T cell","subset","precision",0.966633466135458
"101","B","CD8+ EM T cell","subset","recall",0.9705
"102","B","CD8+ EM T cell","subset","f1",0.968562874251497
"103","B","CD8+ TE T cell","full","precision",0.594770615841394
"104","B","CD8+ TE T cell","full","recall",0.956414600338826
"105","B","CD8+ TE T cell","full","f1",0.733435691508208
"106","B","CD8+ TE T cell","subset","precision",0.989748846745259
"107","B","CD8+ TE T cell","subset","recall",0.9655
"108","B","CD8+ TE T cell","subset","f1",0.977474057200709
"109","B","CD8+ TRM T cell","full","precision",0.0062780269058296
"110","B","CD8+ TRM T cell","full","recall",0.994318181818182
"111","B","CD8+ TRM T cell","full","f1",0.0124772735374853
"112","B","CD8+ TRM T cell","subset","precision",1
"113","B","CD8+ TRM T cell","subset","recall",0.994318181818182
"114","B","CD8+ TRM T cell","subset","f1",0.997150997150997
"115","B","Double negative T cell","full","precision",0.103946289862992
"116","B","Double negative T cell","full","recall",0.955850681981335
"117","B","Double negative T cell","full","f1",0.187502200316846
"118","B","Double negative T cell","subset","precision",0.98064187468161
"119","B","Double negative T cell","subset","recall",0.9625
"120","B","Double negative T cell","subset","f1",0.971486247792077
"121","B","Double positive T cell","full","precision",0.0834964249035983
"122","B","Double positive T cell","full","recall",0.853436324024559
"123","B","Double positive T cell","full","f1",0.152110985597289
"124","B","Double positive T cell","subset","precision",0.8868407578085
"125","B","Double positive T cell","subset","recall",0.866
"126","B","Double positive T cell","subset","f1",0.876296483683279
"127","B","NK cell","full","precision",0.901049952274897
"128","B","NK cell","full","recall",0.975645952033921
"129","B","NK cell","full","f1",0.93686540957325
"130","B","NK cell","subset","precision",0.989858012170385
"131","B","NK cell","subset","recall",0.976
"132","B","NK cell","subset","f1",0.982880161127895
"133","B","Naive CD4+ T cell","full","precision",0.684999014389907
"134","B","Naive CD4+ T cell","full","recall",0.95142726765705
"135","B","Naive CD4+ T cell","full","f1",0.796524411467574
"136","B","Naive CD4+ T cell","subset","precision",0.947916666666667
"137","B","Naive CD4+ T cell","subset","recall",0.9555
"138","B","Naive CD4+ T cell","subset","f1",0.951693227091633
"139","B","Naive CD8+ T cell","full","precision",0.817698628463207
"140","B","Naive CD8+ T cell","full","recall",0.947189639615732
"141","B","Naive CD8+ T cell","full","f1",0.877693713779847
"142","B","Naive CD8+ T cell","subset","precision",0.9824016563147
"143","B","Naive CD8+ T cell","subset","recall",0.949
"144","B","Naive CD8+ T cell","subset","f1",0.965412004069176
