"","sample","cell_type","set_size","score","value"
"1","KR","B cell","full","precision",0.948755914636109
"2","KR","B cell","full","recall",0.992892272451661
"3","KR","B cell","full","f1",0.970322453212187
"4","KR","B cell","subset","precision",0.996
"5","KR","B cell","subset","recall",0.996
"6","KR","B cell","subset","f1",0.996
"7","KR","monocyte","full","precision",0.983424138258991
"8","KR","monocyte","full","recall",0.991031819924421
"9","KR","monocyte","full","f1",0.987213322694818
"10","KR","monocyte","subset","precision",0.997994987468672
"11","KR","monocyte","subset","recall",0.9955
"12","KR","monocyte","subset","f1",0.996745932415519
"13","KR","dendritic cell","full","precision",0.411119812059514
"14","KR","dendritic cell","full","recall",0.994318181818182
"15","KR","dendritic cell","full","f1",0.581717451523546
"16","KR","dendritic cell","subset","precision",0.99400299850075
"17","KR","dendritic cell","subset","recall",0.9945
"18","KR","dendritic cell","subset","f1",0.994251437140715
"19","KW","B cell","full","precision",0.952912107306742
"20","KW","B cell","full","recall",0.996162361623616
"21","KW","B cell","full","f1",0.974057369655421
"22","KW","B cell","subset","precision",0.997005988023952
"23","KW","B cell","subset","recall",0.999
"24","KW","B cell","subset","f1",0.998001998001998
"25","KW","monocyte","full","precision",0.988123866957712
"26","KW","monocyte","full","recall",0.992235390273805
"27","KW","monocyte","full","f1",0.990175360545731
"28","KW","monocyte","subset","precision",0.997993981945838
"29","KW","monocyte","subset","recall",0.995
"30","KW","monocyte","subset","f1",0.99649474211317
"31","KW","dendritic cell","full","precision",0.367505720823799
"32","KW","dendritic cell","full","recall",0.990542763157895
"33","KW","dendritic cell","full","f1",0.536107711138311
"34","KW","dendritic cell","subset","precision",0.993984962406015
"35","KW","dendritic cell","subset","recall",0.9915
"36","KW","dendritic cell","subset","f1",0.992740926157697
"37","MF","B cell","full","precision",0.989655412218784
"38","MF","B cell","full","recall",0.996429009050011
"39","MF","B cell","full","f1",0.993030659863056
"40","MF","B cell","subset","precision",1
"41","MF","B cell","subset","recall",0.999
"42","MF","B cell","subset","f1",0.999499749874937
"43","MF","monocyte","full","precision",0.958847168537947
"44","MF","monocyte","full","recall",0.99395799214539
"45","MF","monocyte","full","f1",0.976086939549844
"46","MF","monocyte","subset","precision",0.994510978043912
"47","MF","monocyte","subset","recall",0.9965
"48","MF","monocyte","subset","f1",0.995504495504495
"49","MF","dendritic cell","full","precision",0.533033251052708
"50","MF","dendritic cell","full","recall",0.996200814111262
"51","MF","dendritic cell","full","f1",0.694475974271661
"52","MF","dendritic cell","subset","precision",0.99500998003992
"53","MF","dendritic cell","subset","recall",0.997
"54","MF","dendritic cell","subset","f1",0.996003996003996
