,dataset,sample,celltype,subsample,f1,recall,precision
0,mono_merge_annotated,KR,not annotated,0,0.9920074124229357,0.9911949864691639,0.9928211712675654
1,mono_merge_annotated,KR,B cell,0,0.9907393299134881,0.985649801253116,0.9958816922500936
2,mono_merge_annotated,KR,monocyte,0,0.975313157803927,0.9674544060463334,0.9833006304012023
3,mono_merge_annotated,KR,dendritic cell,0,0.8313253012048193,0.8102272727272727,0.8535514764565044
4,mono_merge_annotated,KW,not annotated,0,0.9857433021135812,0.9776183172655565,0.9940044722793866
5,mono_merge_annotated,KW,B cell,0,0.9931841575711491,0.9880258302583026,0.998396629192535
6,mono_merge_annotated,KW,monocyte,0,0.5725761020128178,0.401196270015232,0.9995603378456555
7,mono_merge_annotated,KW,dendritic cell,0,0.4040536122915986,0.25411184210526316,0.9856459330143541
8,mono_merge_annotated,MF,not annotated,0,0.9883160199652845,0.9929020469905245,0.9837721621537406
9,mono_merge_annotated,MF,B cell,0,0.992758150380571,0.9874665219598439,0.9981067978343182
10,mono_merge_annotated,MF,monocyte,0,0.9097376416968564,0.9902055872672635,0.8413650549183318
11,mono_merge_annotated,MF,dendritic cell,0,0.819448238186288,0.8141112618724559,0.8248556502612043
