,sample,cluster,f1,recall,precision,hierarchy,celltype
0,NL01,cluster_B cell,0.930643,0.870283,1.0,2,B cell
0,NL01,cluster_T cell,0.633208,0.470743,0.966914,3,T cell
0,NL01,cluster_CD4+ T cell,0.997997,0.997785,0.99821,2,CD4+ T cell
0,NL01,cluster_CD8+ T cell,0.965344,0.935836,0.996774,3,CD8+ T cell
0,NL01,cluster_NK T cell,0.444444,0.285714,1.0,2,NK T cell
0,NL01,cluster_NK cell,0.873626,0.77561,1.0,2,NK cell
0,NL01,cluster_Classical monocyte,0.967853,0.9792,0.956766,2,Classical monocyte
0,NL01,cluster_Intermediate monocyte,0.558559,0.492933,0.644342,3,Intermediate monocyte
0,NL01,cluster_Non-classical monocyte,0.593892,0.439423,0.915832,3,Non-classical monocyte
0,NL01,cluster_pre-DC,0.64,0.470588,1.0,2,pre-DC
0,NL01,cluster_cDC,0.521739,0.356757,0.970588,2,cDC
0,NL01,cluster_pDC,0.971014,0.957143,0.985294,1,pDC
0,NL03,cluster_B cell,0.948267,0.90595,0.994731,2,B cell
0,NL03,cluster_T cell,0.484274,0.53532,0.442115,5,T cell
0,NL03,cluster_CD4+ T cell,0.993075,0.990224,0.995942,3,CD4+ T cell
0,NL03,cluster_CD8+ T cell,0.923233,0.891658,0.957126,2,CD8+ T cell
0,NL03,cluster_NK T cell,0.627451,0.460905,0.982456,5,NK T cell
0,NL03,cluster_NK cell,0.726165,0.570145,0.999746,3,NK cell
0,NL03,cluster_Classical monocyte,0.987449,0.987922,0.986977,4,Classical monocyte
0,NL03,cluster_Intermediate monocyte,0.622114,0.483019,0.87372,4,Intermediate monocyte
0,NL03,cluster_Non-classical monocyte,0.810249,0.691489,0.978261,3,Non-classical monocyte
0,NL03,cluster_pre-DC,0.995261,0.990566,1.0,1,pre-DC
0,NL03,cluster_cDC,0.597297,0.428295,0.986607,3,cDC
0,NL03,cluster_pDC,0.719101,0.561404,1.0,2,pDC
0,NL05,cluster_B cell,0.890543,0.803,0.999509,1,B cell
0,NL05,cluster_T cell,0.562455,0.48648,0.666552,3,T cell
0,NL05,cluster_CD4+ T cell,0.993436,0.990407,0.996485,2,CD4+ T cell
0,NL05,cluster_CD8+ T cell,0.916735,0.863544,0.97691,2,CD8+ T cell
0,NL05,cluster_NK T cell,0.704545,0.54386,1.0,3,NK T cell
0,NL05,cluster_NK cell,0.888097,0.802804,0.993669,4,NK cell
0,NL05,cluster_Classical monocyte,0.981566,0.975791,0.987409,3,Classical monocyte
0,NL05,cluster_Intermediate monocyte,0.491803,0.365854,0.75,3,Intermediate monocyte
0,NL05,cluster_Non-classical monocyte,0.625503,0.456863,0.991489,3,Non-classical monocyte
0,NL05,cluster_pre-DC,0.98708,0.97449,1.0,1,pre-DC
0,NL05,cluster_cDC,0.496413,0.330153,1.0,4,cDC
0,NL05,cluster_pDC,0.916031,0.84507,1.0,2,pDC
0,NL07,cluster_B cell,0.924478,0.862138,0.996536,1,B cell
0,NL07,cluster_T cell,0.212014,0.131579,0.545455,2,T cell
0,NL07,cluster_CD4+ T cell,0.99696,0.997863,0.996059,2,CD4+ T cell
0,NL07,cluster_CD8+ T cell,0.939293,0.908181,0.972612,1,CD8+ T cell
0,NL07,cluster_NK T cell,0.560976,0.442308,0.766667,2,NK T cell
0,NL07,cluster_NK cell,0.929268,0.86857,0.999088,3,NK cell
0,NL07,cluster_Classical monocyte,0.984918,0.981218,0.988646,2,Classical monocyte
0,NL07,cluster_Intermediate monocyte,0.590909,0.498084,0.726257,4,Intermediate monocyte
0,NL07,cluster_Non-classical monocyte,0.56582,0.39644,0.987903,2,Non-classical monocyte
0,NL07,cluster_pre-DC,0.996667,0.996667,0.996667,2,pre-DC
0,NL07,cluster_cDC,0.624303,0.453809,1.0,3,cDC
0,NL07,cluster_pDC,0.97561,0.967742,0.983607,2,pDC
0,NL09,cluster_B cell,0.807418,0.677033,1.0,1,B cell
0,NL09,cluster_T cell,0.578715,0.420827,0.926217,3,T cell
0,NL09,cluster_CD4+ T cell,0.996386,0.996942,0.99583,1,CD4+ T cell
0,NL09,cluster_CD8+ T cell,0.907681,0.883878,0.932802,1,CD8+ T cell
0,NL09,cluster_NK T cell,0.619048,0.481481,0.866667,2,NK T cell
0,NL09,cluster_NK cell,0.935637,0.880116,0.998634,2,NK cell
0,NL09,cluster_Classical monocyte,0.976335,0.963741,0.989262,2,Classical monocyte
0,NL09,cluster_Intermediate monocyte,0.475162,0.341615,0.780142,2,Intermediate monocyte
0,NL09,cluster_Non-classical monocyte,0.948617,0.924431,0.974101,2,Non-classical monocyte
0,NL09,cluster_pre-DC,0.995708,0.991453,1.0,1,pre-DC
0,NL09,cluster_cDC,0.65593,0.49303,0.979592,3,cDC
0,NL09,cluster_pDC,0.964029,0.930556,1.0,4,pDC
