AB,marker_full,marker_2h
CD4,82.0,65.0
CD8a,73.0,55.0
CD197,70.0,44.0
CD16,55.0,41.0
CD161,50.0,29.0
CD57,47.0,22.0
HLA-DR,46.0,18.0
CD45RA,46.0,31.0
CD3,45.0,37.0
CD194,34.0,5.0
CD69,27.0,11.0
CD9,25.0,6.0
CD27,24.0,10.0
CD25,24.0,4.0
CD279-PD1,20.0,5.0
CD127,18.0,3.0
CD2,16.0,9.0
CD223-LAG3,15.0,2.0
CD28,12.0,0.0
CD366-TIM3,12.0,1.0
CD45RO,11.0,1.0
CD7,11.0,10.0
CD195,8.0,0.0
CD95-FAS,5.0,0.0
CD183,5.0,1.0
CD5,5.0,4.0
CD137-41BB,4.0,1.0
CD152-CTLA4,3.0,0.0
CD11a,3.0,0.0
CD134-OX40,1.0,1.0
CD278-ICOS,1.0,0.0
CD45,,
CD49D,,
CD44,,
